数据生成时间：2019-07-24 07:41
数据生成条件：
1. 时间范围：20190723
2. 时间单位：分日
3. 推广设备：移动设备，计算机
4. 投放网络：内部流量，搜索合作流量，百度首页流量，百度贴吧流量

账户,日期,推广计划,展现,点击,消费,平均点击价格,点击率,网页转化,电话转化,商桥转化,推广计划ID
"xa-lhxm","2019-07-23","D-YS-02阴虱",16,0,0.00,0.00,0.00%,0,0,0,109645270
"xa-lhxm","2019-07-23","D-YS-01阴虱",420,16,69.47,4.34,3.81%,0,0,0,109645271
"xa-lhxm","2019-07-23","D-Q[症状词]-疙瘩【31】",1,1,1.91,1.91,100.00%,0,0,0,109049123
"xa-lhxm","2019-07-23","D-P疱疹词-症状-水泡【22】",9,0,0.00,0.00,0.00%,0,0,0,109049126
"xa-lhxm","2019-07-23","D-P疱疹词-【23】",16,1,1.99,1.99,6.25%,0,0,0,109049127
"xa-lhxm","2019-07-23","D-hpv【25】",59,2,5.63,2.82,3.39%,0,0,0,109049144
"xa-lhxm","2019-07-23","D-P疱疹词-hsv【24】",12,0,0.00,0.00,0.00%,0,0,0,109049145
"xa-lhxm","2019-07-23","D-C-YZ-2尿道炎",20,1,2.92,2.92,5.00%,0,0,0,109049146
"xa-lhxm","2019-07-23","D-C-YZ-11尿道炎",102,8,24.12,3.02,7.84%,0,0,0,109049149
"xa-lhxm","2019-07-23","D-Z症状词-【症状】-【08】",13,0,0.00,0.00,0.00%,0,0,0,109049160
"xa-lhxm","2019-07-23","D-Z症状词-【症状】菜花【07】",6,0,0.00,0.00,0.00%,0,0,0,109049161
"xa-lhxm","2019-07-23","D-Z症状词-【症状】肉芽【01】",1,0,0.00,0.00,0.00%,0,0,0,109049099
"xa-lhxm","2019-07-23","D-Z症状词-【症状】颗粒【04】",2,0,0.00,0.00,0.00%,0,0,0,109049164
"xa-lhyy66","2019-07-23","E-RL-8-[打胎]时间-m",16,1,7.33,7.33,6.25%,0,0,0,106064419
"xa-lhyy66","2019-07-23","E-RL-56-西安人流医院-高价",73,3,109.20,36.40,4.11%,0,0,0,106064424
"xa-lhyy66","2019-07-23","E-RL-55-西安人流费用-高价",19,2,79.58,39.79,10.53%,0,0,0,106064425
"xa-lhyy66","2019-07-23","E-RL-53-人流流量-高价",1319,10,372.93,37.29,0.76%,0,0,0,106064427
"xa-lhyy66","2019-07-23","E-RL-6-[打胎]流量-杂-m",195,4,17.80,4.45,2.05%,0,0,0,106064428
"xa-lhyy66","2019-07-23","E-RL-59-（非地域）打胎-高价",131,0,0.00,0.00,0.00%,0,0,0,106064429
"xa-lhyy66","2019-07-23","E-RL-58-（非地域）流产-高价",177,1,8.44,8.44,0.56%,0,0,0,106064430
"xa-lhyy66","2019-07-23","E-RL-57-（非地域）人流-高",406,10,96.84,9.68,2.46%,0,0,0,106064431
"xa-lhyy66","2019-07-23","E-SMZX-3私密整形[阴道紧缩]",246,7,19.56,2.79,2.85%,0,0,0,106064458
"xa-lhyy66","2019-07-23","E-RL-32-[人流]医院-流量-m",31,1,5.83,5.83,3.23%,0,0,0,106064483
"xa-lhyy66","2019-07-23","E-RL-25-人流搜索词",175,1,5.37,5.37,0.57%,0,0,0,106064486
"xa-lhyy66","2019-07-23","E-RL-19-[流产]流量-m",26,0,0.00,0.00,0.00%,0,0,0,106064490
"xa-lhyy66","2019-07-23","E-RL-13-[人流]技术方法-m",43,0,0.00,0.00,0.00%,0,0,0,106064492
