编号,日期,账户,推广计划,消耗,点击数,展示数,点击率,点击均价,有消耗词量
总计,--,--,--,880.49,119,503,23.66%,7.4,111
1,2019-07-23至2019-07-23,cm_029866a@sohu.com,FKQT02-新下拉词lc-38,4,1,10,10.00%,4,1
2,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ02-[妇科炎症]尿道炎,1.82,1,1,100.00%,1.82,1
3,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ28-新【非地域】外阴红肿疙瘩wyhzgd,2.86,1,1,100.00%,2.86,1
4,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL45-新加词,14.82,1,1,100.00%,14.82,1
5,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ12-[妇科炎症]阴道炎-费用,3.72,1,1,100.00%,3.72,1
6,2019-07-23至2019-07-23,cm_029866a@sohu.com,JS26-[计生] 西安打胎+多钱//大夜,23.31,1,3,33.33%,23.31,1
7,2019-07-23至2019-07-23,cm_029866a@sohu.com,YL01-[计生]非地域-药流,32.36,1,2,50.00%,32.36,1
8,2019-07-23至2019-07-23,cm_029866a@sohu.com,PP01-[品牌]-莲湖生殖医院词-03,28.5,2,6,33.33%,14.25,1
9,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ35-新妇科-【妇科】炎症,0.51,1,1,100.00%,0.51,1
10,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL08-[计生]非地域-人流医院-,13.28,1,3,33.33%,13.28,1
11,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL29-【流产价钱】,27.29,1,2,50.00%,27.29,1
12,2019-07-23至2019-07-23,cm_029866a@sohu.com,RL22-[计生人流]人流时间-a,58.17,2,4,50.00%,29.09,2
13,2019-07-23至2019-07-23,cm_029866a@sohu.com,ZY05-[早孕]-早孕测试-偏词,15.06,4,20,20.00%,3.77,4
14,2019-07-23至2019-07-23,cm_029866a@sohu.com,JS16-[计生] 人流+钱//大夜,19.13,1,1,100.00%,19.13,1
15,2019-07-23至2019-07-23,cm_029866a@sohu.com,YJ01-【症状】月经推迟-高点击,17.35,6,39,15.38%,2.89,6
16,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ19-[急性症状]阴道口症状-c,18.23,5,20,25.00%,3.65,5
17,2019-07-23至2019-07-23,cm_029866a@sohu.com,FKQT03-【拉流量】禁调LLL-00,40.93,17,76,22.37%,2.41,12
18,2019-07-23至2019-07-23,cm_029866a@sohu.com,HY08-[妇科医院]非地域,1.64,1,16,6.25%,1.64,1
19,2019-07-23至2019-07-23,cm_029866a@sohu.com,YZ10-[妇科炎症]阴道瘙痒,3.22,1,6,16.67%,3.22,1
